Name of the modules and components,quantity,Column1,Cost in INR,Cost in USD,Vender,payment gateway,Link to the Components,Notes
Seed Studio XIAO ESP32S3 & Wio-SX1262 Kit,1 unit,,1250Rs,13.36 USD,RoboCraze,Cashfree Payments,https://robocraze.com/products/xiao-esp32s3-wio-sx1262-kit-for-meshtastic-lora,
NOVA 105050 3000mAh 3.7V Micro LiPo Battery pack with Protection,1 unit,,448Rs,4.79 USD,Robu.in,Razorpay,https://robu.in/product/nova-105050-3000mah-3-7v-micro-lipo-battery-pack/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWe4R9z4PrsSQhsacUKqTIDgg&gclid=CjwKCAjwnN3OBhA8EiwAfpTYepEXeKFlBX0-ix-hSTadPWN_lD1DExHiwqJOWdFqjVTRtoTX3rnxnRoCGTcQAvD_BwE#tab-specification,
2.8-inch SPI Screen Module TFT Interface 240 x 320,1 unit,,502Rs,5.36 USD,Robu.in,Razorpay,https://robu.in/product/2-8-inch-spi-screen-module-tft-interface-240-x-320-without-touch/#tab-product_download_66939_tab,
MCP23017 IO Expander,1 units,,295X2 =590Rs,6.30 USD,Sharvi electronics,Razorpay,https://sharvielectronics.com/product/mcp23017-io-expander-serial-module-with-i2c-serial-interface/,"Footprint made, cross verification to be done"
6x6x8mm Tactile Push Button Switch,35 units,,1.42X35=49.7Rs,0.53 USD,Robu.in,Razorpay,https://robu.in/product/6x6x8mm-tactile-push-button-switch-pack-of-20/,
header pins male and female,approx 3-4 strips,,150~,1.62 USD,amazon,amazon,https://amzn.in/d/0hcru4TC,
1N4148 SMD Diodes,35 units,,2.31x35=80.85Rs,0.86 USD,Robu.in,Razorpay,https://robu.in/product/1n4148-surface-mount-zener-diode-pack-of-30/,
0.1uf 50V Electrolytic Capacitor 4×7 mm,2 units,,1.8x2=3.6Rs,0.038 USD,Sharvi electronics,Razorpay,https://sharvielectronics.com/product/0-1uf-50v-electrolytic-capacitor-4x7-mm/?srsltid=AfmBOorWLvhkQVm3tLwfxggNZzukFgYLQLgEaaP8dhHFd3TmrdtAEbPY,
4.7k? Resistors,2 units,,1.78x4=7.12Rs,0.076 USD,Robu.in,Razorpay,https://robu.in/product/4-7k-ohm-1w-metal-film-resistor-pack-of-40/,
5V buzzer,1 unit,,5Rs,0.053 USD,Robu.in,Razorpay,https://robu.in/product/1-month-warranty-1248/,
Type-C USB 5V 3.1A Boost Step-Up Power Module Lithium Battery Charging Protection Board LED Display,1 unit,,199Rs,2.13 USD,RoboticsDNA,Razorpay,https://roboticsdna.in/product/type-c-usb-5v-3-1a-boost-step-up-power-module-lithium-battery-charging-protection-board-led-display-usb-for-diy-charger-no-weld/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=23684419086&gbraid=0AAAAAC-xzeHGeoXQ55OAHaQCIb7zfF5Bw&gclid=Cj0KCQjwy_fOBhC6ARIsAHKFB78in6-iXOiUay3XAbAS1s5LUVEdgtFZzN9HRiBrgJL9wrLbAssALQcaAuQGEALw_wcB\,
"K1-1504SA-03-Hroparts-SMD,10x10mm Multi-Directional Switches ROHS",1 unit,,Rs53,0.56 USD,Robu.in,Razorpay,https://robu.in/product/k1-1504sa-03-hroparts-smd10x10mm-multi-directional-switches-rohs/?gad_campaignid=17427802703&gad_source=1&gclid=CjwKCAjwhqfPBhBWEiwAZo196rdmDN105VQjwtv__rC1z535m1vRomZS1826MCCL-oSAd58Fg23y2RoCFHkQAvD_BwE&gbraid=0AAAAADvLFWcFOfMDkpSzIEVzy6CGMtIqJ,Wil need to check pinout with Multimeter
868MHZ 3dbi antenna for lora,1 Unit,,172Rs,1.84 USD,Sharvi electronics,Razorpay,https://sharvielectronics.com/product/868mhz-lora-gateway-antenna-3dbi-gain-with-sma-male-connector/,
15CM SMA Female to IPEX1 Connector Cable Thread 13mm RG1.13,1 unit,,123Rs,1.32USD,Robu.in,Razorpay,https://robu.in/product/15cm-sma-female-to-ipex1-connector-cable-thread-13/,
10k Ohm 0.25W Metal Film Resistor,1 unit,,0.35Rs,0.37 USD,Robu.in,Razorpay,https://robu.in/product/10k-ohm-0-25w-metal-film-resistor-pack-of-100/,
L89HA GPS,1 unit,,808RS,8.57 USD,Robocraze,U pay,https://robocraze.com/products/l89ha-multi-gnss-breakout-module-for-gps-irnss-glonass-beidou-galileo-qzss-7semi?variant=47278420787424,
MAX17048,1 unit,,339RS,3.6 USD,RoboCraze,Cashfree Payments,https://robocraze.com/products/max17048-li-poly-li-ion-fuel-gauge-breakout-board-mini-7semi?variant=47279011758304,
4 Pin JST-XH Single Side Female Polarized Header with 300mm Wire -2.54mm pitch,1 unit,,12Rs,0.13 USD,Sharvi electronics,Razorpay,https://sharvielectronics.com/product/4-pin-jst-xh-female-polarized-header-wire/,
4 Pin JST-XH Male Straight 2515 Connector 2.54mm Pitch,1 unut,,3.25,0.34 USD,Sharvi electronics,Razorpay,https://sharvielectronics.com/product/4-pin-jst-xh-male-straight-2515-connector-2-54mm-pitch/,
"1k Ohm 0.25W,1/4W Metal Film Resistor",1 unit,,0.90RS,0.94 USD,Robu.in,Razorpay,https://robu.in/product/1k-ohm-0-25w-metal-film-resistor-pack-of-100/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWfkXPOnTYoYm-ICU5CInBHDv&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XIj57IdVh3vHXTHFk_s1zfWJuLZ_51RYMLWJrZUY41w_fux83UwMmBoCPd0QAvD_BwE,
Sub-Miniature Toggle Switch (Pack of 5),1 Unit,,66RS,0.69 USD,RoboCraze,U pay,https://robocraze.com/products/sub-miniature-toggle-switchpack-of-5,
SS14 skotty diode,1 Unit,,16Rs,0.17 USD,Robu.in,Razorpay,https://robu.in/product/ss14-e3-5at-vishay-ss14-e3-5at-diode-schottky-1a-40v-do-214ac-2/,
SS8050,1 Unit,,6Rs,0.7 USD,Robu.in,Razorpay,https://robu.in/product/ss8050range200-300-jiangsu-changjing-electronics-technology-co-ltd-25v-1w-200800ma1v-1-5a-npn-to-92-3-bipolar-bjt-rohs/,
Transparent Soft Silicone Switch Cap For 6X6mm Switches,35 Units,,160Rs,1.69 USD,Sharvi electronics,Razorpay,https://sharvielectronics.com/product/transparent-soft-silicone-switch-cap-for-6x6mm-switches/,
Black Rubber Cap for 10x10x9mm Five Way Switch,1 Unit,,18Rs,0.20 USD,RoboticsDNA,Razorpay,https://roboticsdna.in/product/black-rubber-cap-for-10x10x9mm-five-way-switch/,
PCB,1unit,,640 Rs,6.80 USD,JLCPCB,N/A,N/A,
TOTAL,,,5740 RS,60.85 USD,===,,,
